"These are the fields that Telarus, our main distributor, uses to report by vendor.  We will need to create templates to match our fields to theirs.  We will display different field ""label names"" on these fields for our own understanding.",,,,,,,,
The fields in 7-10 are common fields that all templates will use.  ,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Template Map Name,Origin,CompanyName,templateId,commissionType,fieldId,Telarus CommonFields,New Commissable Field Label,
Telarus-Astound Business Solutions,Telarus,Astound Business Solutions,2475,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Avaya,Telarus,Avaya,2560,Residual,525,Recurring Comm Rate,Actual Commission Rate %,
Telarus-Avaya ANZ,Telarus,Avaya ANZ,2558,Residual,525,Recurring Comm Rate,Actual Commission Rate %,
Telarus-Avaya CAD,Telarus,Avaya CAD,2559,Residual,525,Recurring Comm Rate,Actual Commission Rate %,
Telarus-Avaya UK,Telarus,Avaya UK,2456,Residual,525,Recurring Comm Rate,Actual Commission Rate %,
Telarus-Balto,Telarus,Balto,2514,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Breezeline,Telarus,Breezeline,2064,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Brightspeed,Telarus,Brightspeed,2430,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-BullsEye,Telarus,BullsEye,2235,Residual,494,Residual Rate,Actual Commission Rate %,
Telarus-BullsEye,Telarus,BullsEye,2235,Residual,495,Usage Rate,Actual Commission Rate %,
Telarus-CallTower,Telarus,CallTower,2444,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-CentraCom,Telarus,CentraCom,2541,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Cisco,Telarus,Cisco,2578,Residual,277,Rate,Actual Commission Rate %,
Telarus-ClearView,Telarus,ClearView,1673,Residual,277,Rate,Actual Commission Rate %,
Telarus-Cogent Communications CAD,Telarus,Cogent Communications CAD,2534,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Colt,Telarus,Colt,2485,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Command Link,Telarus,Command Link,1688,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Consolidated Communications,Telarus,Consolidated Communications,2542,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Convergia,Telarus,Convergia,2457,Residual,576,Commission Rate,Actual Commission Rate %,Shoe
Telarus-Convergia CAD,Telarus,Convergia CAD,2458,Residual,576,Commission Rate,Actual Commission Rate %,1
Telarus-Coresite,Telarus,Coresite,2466,Residual,134,Commission Percent,Actual Commission Rate %,MRC
Telarus-Crown Castle,Telarus,Crown Castle,1565,Residual,479,Residual Percent,Actual Commission Rate %,Shoe1
Telarus-Crown Castle,Telarus,Crown Castle,1869,Residual,479,Residual Percent,Actual Commission Rate %,2024-08
Telarus-Crown Castle CAD,Telarus,Crown Castle CAD,1652,Residual,479,Residual Percent,Actual Commission Rate %,asdlkfsladfj
Telarus-Cyxtera,Telarus,Cyxtera,1810,Residual,277,Rate,Actual Commission Rate %,
Telarus-DartPoints,Telarus,DartPoints,2464,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-DataBank,Telarus,DataBank,1873,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Dialpad,Telarus,Dialpad,2489,Residual,277,Rate,Actual Commission Rate %,
Telarus-Dialpad ANZ,Telarus,Dialpad ANZ,2486,Residual,277,Rate,Actual Commission Rate %,
Telarus-Dialpad CAD,Telarus,Dialpad CAD,2487,Residual,277,Rate,Actual Commission Rate %,
Telarus-Dialpad UK,Telarus,Dialpad UK,2488,Residual,277,Rate,Actual Commission Rate %,
Telarus-Dizzion,Telarus,Dizzion,1582,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Effortless Office,Telarus,Effortless Office,2394,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Epic io,Telarus,Epic io,2384,Residual,277,Rate,Actual Commission Rate %,
Telarus-Equinix,Telarus,Equinix,1596,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Equinix CAD,Telarus,Equinix CAD,1719,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Equinix UK,Telarus,Equinix UK,2024,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-eSentire,Telarus,eSentire,2480,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-eSentire,Telarus,eSentire,2491,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Esentire ANZ,Telarus,Esentire ANZ,2481,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-eSentire CAD,Telarus,eSentire CAD,2490,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Evolve IP,Telarus,Evolve IP,2493,Residual,328,Account Rate,Actual Commission Rate %,
Telarus-Expedient,Telarus,Expedient,2296,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Expereo,Telarus,Expereo,2571,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-FiberLight,Telarus,FiberLight,2525,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Five9,Telarus,Five9,1874,Residual,362,Percent Payout LD,Actual Commission Rate %,
Telarus-Five9,Telarus,Five9,1874,Residual,361,Percent Payout Seats,Actual Commission Rate %,
Telarus-Five9 CAD,Telarus,Five9 CAD,2213,Residual,362,Percent Payout LD,Actual Commission Rate %,
Telarus-Five9 CAD,Telarus,Five9 CAD,2213,Residual,361,Percent Payout Seats,Actual Commission Rate %,
Telarus-Flexential,Telarus,Flexential,2206,Residual,277,Rate,Actual Commission Rate %,
Telarus-FreeConferenceCall.com,Telarus,FreeConferenceCall.com,1884,Residual,277,Rate,Actual Commission Rate %,
Telarus-Fusion Connect,Telarus,Fusion Connect,2536,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-G12 Communications,Telarus,G12 Communications,2378,Residual,277,Rate,Actual Commission Rate %,
Telarus-Genesys,Telarus,Genesys,2194,Residual,277,Rate,Actual Commission Rate %,
Telarus-GHA Technologies,Telarus,GHA Technologies,2544,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Globalgig,Telarus,Globalgig,2520,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Globalgig CAD,Telarus,Globalgig CAD,2516,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-GWI (Great Works Internet),Telarus,GWI (Great Works Internet),1801,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-InflowCX,Telarus,InflowCX,2380,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-InflowCX,Telarus,InflowCX,2418,Residual,277,Rate,Actual Commission Rate %,
Telarus-IntelePeer,Telarus,IntelePeer,1724,Residual,277,Rate,Actual Commission Rate %,
Telarus-Intrado,Telarus,Intrado,2233,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-iTel Networks,Telarus,iTel Networks,2467,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-iTel Networks CAD,Telarus,iTel Networks CAD,2468,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Level AI,Telarus,Level AI,2141,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Logix,Telarus,Logix,1614,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Lumen,Telarus,Lumen,2427,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Lunavi,Telarus,Lunavi,2562,Residual,277,Rate,Actual Commission Rate %,
Telarus-Net2Phone,Telarus,Net2Phone,2594,Residual,277,Rate,Actual Commission Rate %,
Telarus-Net2Phone,Telarus,Net2Phone,2595,Residual,277,Rate,Actual Commission Rate %,
Telarus-Net2Phone Canada,Telarus,Net2Phone Canada,1870,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Netrio,Telarus,Netrio,2575,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Netwolves,Telarus,Netwolves,1610,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Nitel,Telarus,Nitel,2240,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Nord Security,Telarus,Nord Security,2320,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-NuWave Communications,Telarus,NuWave Communications,2272,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Ooma,Telarus,Ooma,2528,Residual,277,Rate,Actual Commission Rate %,
Telarus-Ooma CAD,Telarus,Ooma CAD,2547,Residual,277,Rate,Actual Commission Rate %,
Telarus-Open Systems,Telarus,Open Systems,1645,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Open Systems,Telarus,Open Systems,2342,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Open Systems UK,Telarus,Open Systems UK,1579,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Open Systems UK,Telarus,Open Systems UK,2343,Residual,576,Commission Rate,Actual Commission Rate %,
Telarus-Optimum Business,Telarus,Optimum Business,1609,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Optimum Business,Telarus,Optimum Business,2371,Residual,134,Commission Percent,Actual Commission Rate %,
Telarus-Optimum Business,Telarus,Optimum Business,2497,Residual,134,Commission Percent,Actual Commission Rate %,
